,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-04-11,16.4306547090777,-28.948867464995562,54.9374438340896,16.4306547090777,16.4306547090777,-2.1887773939159856,-2.1887773939159856,-2.1887773939159856,-0.636115316125541,-0.636115316125541,-0.636115316125541,-1.5526620777904445,-1.5526620777904445,-1.5526620777904445,0.0,0.0,0.0,14.241877315161714
1,2019-04-12,16.439807076057857,-29.71996907863539,54.19689056490382,16.439807076057857,16.439807076057857,-2.5786944509400063,-2.5786944509400063,-2.5786944509400063,-1.1376209723654593,-1.1376209723654593,-1.1376209723654593,-1.4410734785745472,-1.4410734785745472,-1.4410734785745472,0.0,0.0,0.0,13.861112625117851
2,2019-04-15,16.467264176998324,-23.49865469713856,54.501889615125485,16.467264176998324,16.467264176998324,-0.6217242981045834,-0.6217242981045834,-0.6217242981045834,0.6688321581611748,0.6688321581611748,0.6688321581611748,-1.2905564562657583,-1.2905564562657583,-1.2905564562657583,0.0,0.0,0.0,15.84553987889374
3,2019-04-16,16.47641654397848,-28.174273497456866,55.172890889393166,16.47641654397848,16.47641654397848,-1.6038170563373326,-1.6038170563373326,-1.6038170563373326,-0.293838747489355,-0.293838747489355,-0.293838747489355,-1.3099783088479773,-1.3099783088479773,-1.3099783088479773,0.0,0.0,0.0,14.872599487641148
4,2019-04-17,16.485568910958637,-26.057459646552534,56.345751921169715,16.485568910958637,16.485568910958637,-1.3714710700032826,-1.3714710700032826,-1.3714710700032826,-0.0001340607276938383,-0.0001340607276938383,-0.0001340607276938383,-1.3713370092755888,-1.3713370092755888,-1.3713370092755888,0.0,0.0,0.0,15.114097840955354
5,2019-04-18,16.49472127793879,-26.029254613115288,55.31416971971598,16.49472127793879,16.49472127793879,-2.116566174147488,-2.116566174147488,-2.116566174147488,-0.6361153161197934,-0.6361153161197934,-0.6361153161197934,-1.480450858027695,-1.480450858027695,-1.480450858027695,0.0,0.0,0.0,14.378155103791302
6,2019-04-22,16.531330745859414,-25.19647578222741,54.56717601140127,16.531330745859414,16.531330745859414,-1.8618462758360146,-1.8618462758360146,-1.8618462758360146,0.6688321581632567,0.6688321581632567,0.6688321581632567,-2.530678433999271,-2.530678433999271,-2.530678433999271,0.0,0.0,0.0,14.669484470023399
7,2019-04-23,16.54048311283957,-26.80363682633817,51.32810259940512,16.54048311283957,16.54048311283957,-3.275473214477474,-3.275473214477474,-3.275473214477474,-0.29383874749105493,-0.29383874749105493,-0.29383874749105493,-2.981634466986419,-2.981634466986419,-2.981634466986419,0.0,0.0,0.0,13.265009898362097
8,2019-04-24,16.549635479819727,-24.894847505038985,53.947103355839474,16.549635479819727,16.549635479819727,-3.5206550742207425,-3.5206550742207425,-3.5206550742207425,-0.00013406072850492208,-0.00013406072850492208,-0.00013406072850492208,-3.520521013492237,-3.520521013492237,-3.520521013492237,0.0,0.0,0.0,13.028980405598984
9,2019-04-25,16.55878784679988,-28.617202511829177,53.37864054308835,16.55878784679988,16.55878784679988,-4.788137918934821,-4.788137918934821,-4.788137918934821,-0.6361153161223577,-0.6361153161223577,-0.6361153161223577,-4.152022602812464,-4.152022602812464,-4.152022602812464,0.0,0.0,0.0,11.770649927865058
10,2019-04-26,16.56794021378004,-31.036387277847258,47.85657217244776,16.56794021378004,16.56794021378004,-6.017050636724208,-6.017050636724208,-6.017050636724208,-1.1376209723653834,-1.1376209723653834,-1.1376209723653834,-4.879429664358825,-4.879429664358825,-4.879429664358825,0.0,0.0,0.0,10.550889577055834
11,2019-04-29,16.595397314720504,-30.620412254344924,51.43707309351162,16.595397314720504,16.595397314720504,-6.975149009561973,-6.975149009561973,-6.975149009561973,0.6688321581623371,0.6688321581623371,0.6688321581623371,-7.64398116772431,-7.64398116772431,-7.64398116772431,0.0,0.0,0.0,9.620248305158531
12,2019-04-30,16.60454968170066,-33.326541311200366,49.643093238074854,16.60454968170066,16.60454968170066,-9.04581056644411,-9.04581056644411,-9.04581056644411,-0.2938387474883884,-0.2938387474883884,-0.2938387474883884,-8.751971818955722,-8.751971818955722,-8.751971818955722,0.0,0.0,0.0,7.55873911525655
13,2019-05-01,16.613702048680818,-35.58000988822522,49.123255099838936,16.613702048680818,16.613702048680818,-9.944169801543037,-9.944169801543037,-9.944169801543037,-0.00013406072931618367,-0.00013406072931618367,-0.00013406072931618367,-9.944035740813721,-9.944035740813721,-9.944035740813721,0.0,0.0,0.0,6.669532247137781
14,2019-05-02,16.622854415660974,-37.290896710696764,44.50703984609909,16.622854415660974,16.622854415660974,-11.847527172628471,-11.847527172628471,-11.847527172628471,-0.6361153161197654,-0.6361153161197654,-0.6361153161197654,-11.211411856508704,-11.211411856508704,-11.211411856508704,0.0,0.0,0.0,4.775327243032503
15,2019-05-03,16.63200678264113,-37.34727100418664,41.46658125980343,16.63200678264113,16.63200678264113,-13.680866781304875,-13.680866781304875,-13.680866781304875,-1.1376209723646966,-1.1376209723646966,-1.1376209723646966,-12.543245808940181,-12.543245808940181,-12.543245808940181,0.0,0.0,0.0,2.951140001336256
16,2019-05-06,16.659463883581594,-37.81790162799898,42.70487072594356,16.659463883581594,16.659463883581594,-16.12015806397676,-16.12015806397676,-16.12015806397676,0.6688321581626753,0.6688321581626753,0.6688321581626753,-16.788990222139436,-16.788990222139436,-16.788990222139436,0.0,0.0,0.0,0.5393058196048344
17,2019-05-07,16.66861625056175,-42.50376028846592,42.053380534195256,16.66861625056175,16.66861625056175,-18.528354265999578,-18.528354265999578,-18.528354265999578,-0.29383874749003375,-0.29383874749003375,-0.29383874749003375,-18.234515518509543,-18.234515518509543,-18.234515518509543,0.0,0.0,0.0,-1.8597380154378271
18,2019-05-08,16.677768617541908,-44.552668142735676,38.61368596684476,16.677768617541908,16.677768617541908,-19.666002386768547,-19.666002386768547,-19.666002386768547,-0.00013406073012708967,-0.00013406073012708967,-0.00013406073012708967,-19.66586832603842,-19.66586832603842,-19.66586832603842,0.0,0.0,0.0,-2.988233769226639
19,2019-05-09,16.686920984522065,-45.68353944368856,36.187741263283804,16.686920984522065,16.686920984522065,-21.700687803466888,-21.700687803466888,-21.700687803466888,-0.636115316120752,-0.636115316120752,-0.636115316120752,-21.064572487346133,-21.064572487346133,-21.064572487346133,0.0,0.0,0.0,-5.0137668189448235
20,2019-05-10,16.69607335150222,-47.680577933109234,36.99174979406624,16.69607335150222,16.69607335150222,-23.549734780408983,-23.549734780408983,-23.549734780408983,-1.1376209723646589,-1.1376209723646589,-1.1376209723646589,-22.412113808044325,-22.412113808044325,-22.412113808044325,0.0,0.0,0.0,-6.853661428906761
21,2019-05-13,16.723530452442688,-48.20057255020874,32.71003067710694,16.723530452442688,16.723530452442688,-25.301900681987483,-25.301900681987483,-25.301900681987483,0.6688321581604982,0.6688321581604982,0.6688321581604982,-25.97073284014798,-25.97073284014798,-25.97073284014798,0.0,0.0,0.0,-8.578370229544795
22,2019-05-14,16.732682819422845,-53.28978632347425,30.070211275839753,16.732682819422845,16.732682819422845,-27.235962022722486,-27.235962022722486,-27.235962022722486,-0.29383874749173367,-0.29383874749173367,-0.29383874749173367,-26.942123275230752,-26.942123275230752,-26.942123275230752,0.0,0.0,0.0,-10.503279203299641
